"","fips","SCC","Pollutant","Emissions","type","year"
"2998996","27119","2801000003","PM25-PRI",2095.09,"NONPOINT",1999
"10356651","12017","10100212","PM25-PRI",2098.3,"POINT",2005
"5259660","56023","2296000000","PM25-PRI",2099.37,"NONPOINT",2002
"10855723","56023","2296000000","PM25-PRI",2099.37,"NONPOINT",2005
"19963510","34017","10100201","PM25-PRI",2099.48,"POINT",2008
"2955014","27053","2294000000","PM25-PRI",2101.23,"NONPOINT",1999
"165549","01071","10100202","PM25-PRI",2102.696,"POINT",1999
"4482643","19193","10100222","PM25-PRI",2103.48,"POINT",2002
"4620784","48161","10100302","PM25-PRI",2104.84,"POINT",2002
"4033712","30015","2801000003","PM25-PRI",2111,"NONPOINT",1999
"11099787","41035","2810090000","PM25-PRI",2113.91,"NONPOINT",2005
"301811","12105","2810001000","PM25-PRI",2114.85,"NONPOINT",1999
"2515465","37119","2610000500","PM25-PRI",2116.99,"NONPOINT",1999
"4943356","29071","2296000000","PM25-PRI",2117.11,"NONPOINT",2002
"10552064","29071","2296000000","PM25-PRI",2117.11,"NONPOINT",2005
"4410022","04017","10100212","PM25-PRI",2118.02,"POINT",2002
"3514977","48113","2311030000","PM25-PRI",2118.19,"NONPOINT",1999
"1553016","06065","2294000000","PM25-PRI",2118.275,"NONPOINT",1999
"4765942","16001","2102008000","PM25-PRI",2120.81,"NONPOINT",2002
"10941274","16001","2102008000","PM25-PRI",2120.81,"NONPOINT",2005
"5161755","48251","2296000000","PM25-PRI",2121.91,"NONPOINT",2002
"11016251","48251","2296000000","PM25-PRI",2121.91,"NONPOINT",2005
"279098","12083","2296000000","PM25-PRI",2126.42,"NONPOINT",1999
"10335866","48449","10100302","PM25-PRI",2127.68,"POINT",2005
"362625","13063","20200201","PM25-PRI",2129.482,"POINT",1999
"1160501","22109","2801500000","PM25-PRI",2130.81,"NONPOINT",1999
"4706018","06073","2104008001","PM25-PRI",2131.25,"NONPOINT",2002
"11025041","06073","2104008001","PM25-PRI",2131.25,"NONPOINT",2005
"10455889","30087","10100226","PM25-PRI",2132.2,"POINT",2005
"737793","17075","2801000003","PM25-PRI",2132.41,"NONPOINT",1999
"10557657","22123","2810090000","PM25-PRI",2135.97,"NONPOINT",2005
"16618171","48251","2296000000","PM25-PRI",2137.67,"NONPOINT",2008
"9269874","37119","2275020000","PM25-PRI",2137.8,"NON-ROAD",2002
"1499248","08123","2801000003","PM25-PRI",2138.75,"NONPOINT",1999
"1047079","05093","2801000003","PM25-PRI",2138.94,"NONPOINT",1999
"286365","12089","2810001000","PM25-PRI",2139.04,"NONPOINT",1999
"1535955","06025","2810001000","PM25-PRI",2139.58,"NONPOINT",1999
"5037555","38017","2801000003","PM25-PRI",2142.42,"NONPOINT",2002
"10609508","38017","2801000003","PM25-PRI",2142.42,"NONPOINT",2005
"4405488","01063","10100201","PM25-PRI",2143.6,"POINT",2002
"10792248","49009","2810001001","PM25-PRI",2145.3,"NONPOINT",2005
"17356711","13131","2810015000","PM25-PRI",2145.64,"NONPOINT",2008
"4470808","18097","10100212","PM25-PRI",2146.44,"POINT",2002
"16972261","17075","2801000003","PM25-PRI",2147.61,"NONPOINT",2008
"241142","12031","2294000000","PM25-PRI",2148.95,"NONPOINT",1999
"16870611","04007","2810015000","PM25-PRI",2149.02,"NONPOINT",2008
"219558","12003","2810001000","PM25-PRI",2152.3,"NONPOINT",1999
"321140","12129","2810001000","PM25-PRI",2153.43,"NONPOINT",1999
"17022221","56003","2296000000","PM25-PRI",2155.13,"NONPOINT",2008
"1383428","20149","10100226","PM25-PRI",2156.264,"POINT",1999
"10572739","48039","2810001000","PM25-PRI",2158.33,"NONPOINT",2005
"1556924","06073","2104008001","PM25-PRI",2159.85,"NONPOINT",1999
"10485769","19193","10100222","PM25-PRI",2161.31,"POINT",2005
"633986","21167","10100212","PM25-PRI",2162.302,"POINT",1999
"10929054","06093","2810090000","PM25-PRI",2163.77,"NONPOINT",2005
"10602272","56005","2810090000","PM25-PRI",2164.91,"NONPOINT",2005
"17275501","06073","2311020000","PM25-PRI",2166.45,"NONPOINT",2008
"10903461","16049","2810001000","PM25-PRI",2168.66,"NONPOINT",2005
"5146193","48113","2311020000","PM25-PRI",2170.13,"NONPOINT",2002
"11012841","48113","2311020000","PM25-PRI",2170.13,"NONPOINT",2005
"10456163","01073","30400301","PM25-PRI",2171.57,"POINT",2005
"3726896","48439","2311030000","PM25-PRI",2173.94,"NONPOINT",1999
"3544297","48157","2296000000","PM25-PRI",2177.2,"NONPOINT",1999
"301717","12105","2296000000","PM25-PRI",2179.41,"NONPOINT",1999
"1556510","06071","2294000000","PM25-PRI",2180.145,"NONPOINT",1999
"1556521","06071","2302002000","PM25-PRI",2180.18,"NONPOINT",1999
"25863410","27139","30501199","PM25-PRI",2181.8,"POINT",2008
"5259857","56029","2296000000","PM25-PRI",2182.45,"NONPOINT",2002
"10917012","56029","2296000000","PM25-PRI",2182.45,"NONPOINT",2005
"10259140","56031","10100222","PM25-PRI",2187.53,"POINT",2005
"5180026","48453","2296000000","PM25-PRI",2187.77,"NONPOINT",2002
"10610391","48453","2296000000","PM25-PRI",2187.77,"NONPOINT",2005
"17102231","13051","2102008000","PM25-PRI",2187.91,"NONPOINT",2008
"4731987","12113","2810015000","PM25-PRI",2188.98,"NONPOINT",2002
"4889493","25027","2104008000","PM25-PRI",2189.01,"NONPOINT",2002
"10512130","25027","2104008000","PM25-PRI",2189.01,"NONPOINT",2005
"694925","17019","2801000003","PM25-PRI",2189.43,"NONPOINT",1999
"1148050","22093","2801500000","PM25-PRI",2192.78,"NONPOINT",1999
"3597635","48231","2296000000","PM25-PRI",2194.27,"NONPOINT",1999
"10925605","53049","2810090000","PM25-PRI",2195.58,"NONPOINT",2005
"16820081","48453","2296000000","PM25-PRI",2204.02,"NONPOINT",2008
"3004067","27127","2801000003","PM25-PRI",2204.32,"NONPOINT",1999
"3080000","39049","2294000000","PM25-PRI",2205.78,"NONPOINT",1999
"4443486","13077","10100212","PM25-PRI",2209.26,"POINT",2002
"1553018","06065","2296000000","PM25-PRI",2212.203,"NONPOINT",1999
"4702548","06037","2302002000","PM25-PRI",2212.56,"NONPOINT",2002
"10816816","06037","2302002000","PM25-PRI",2212.56,"NONPOINT",2005
"4888651","25017","2102008000","PM25-PRI",2215.28,"NONPOINT",2002
"10787962","25017","2102008000","PM25-PRI",2215.28,"NONPOINT",2005
"59693","25017","2296000000","PM25-PRI",2215.81,"NONPOINT",1999
"1626672","16023","2810001000","PM25-PRI",2217.168,"NONPOINT",1999
"4228879","49037","2810001000","PM25-PRI",2218.06,"NONPOINT",1999
"4581990","39013","10100202","PM25-PRI",2218.52,"POINT",2002
"4041834","30029","2296000000","PM25-PRI",2221.35,"NONPOINT",1999
"1104538","22033","10201402","PM25-PRI",2222.546,"POINT",1999
"1399909","20173","2296000000","PM25-PRI",2225.64,"NONPOINT",1999
"3090410","39061","2294000000","PM25-PRI",2226.81,"NONPOINT",1999
"4576419","37071","10100202","PM25-PRI",2227.7,"POINT",2002
"4998690","35015","2296000000","PM25-PRI",2227.96,"NONPOINT",2002
"10705666","35015","2296000000","PM25-PRI",2227.96,"NONPOINT",2005
"14518317","22109","2280003000","PM25-PRI",2228.2,"NON-ROAD",2005
"10295894","39167","10100203","PM25-PRI",2228.94,"POINT",2005
"600274","21111","2294000000","PM25-PRI",2229.77,"NONPOINT",1999
"4593311","42033","10100202","PM25-PRI",2233.29,"POINT",2002
"1650979","16059","2810001000","PM25-PRI",2233.426,"NONPOINT",1999
"1653032","16063","2810001000","PM25-PRI",2235.253,"NONPOINT",1999
"1662785","16077","2801500261","PM25-PRI",2236.632,"NONPOINT",1999
"2883441","26125","2294000000","PM25-PRI",2239.35,"NONPOINT",1999
"303471","12107","2810001000","PM25-PRI",2239.95,"NONPOINT",1999
"10449216","47161","10100215","PM25-PRI",2242.47,"POINT",2005
"2348903","28047","10100602","PM25-PRI",2242.873,"POINT",1999
"4997232","35005","2296000000","PM25-PRI",2244.01,"NONPOINT",2002
"10555576","35005","2296000000","PM25-PRI",2244.01,"NONPOINT",2005
"4370311","53033","2610000500","PM25-PRI",2244.11,"NONPOINT",1999
"10567718","48457","2810090000","PM25-PRI",2244.25,"NONPOINT",2005
"428963","13159","10200602","PM25-PRI",2244.252,"POINT",1999
"4768608","16027","2296000000","PM25-PRI",2247.5,"NONPOINT",2002
"11097437","16027","2296000000","PM25-PRI",2247.5,"NONPOINT",2005
"3678914","48361","2296000000","PM25-PRI",2247.64,"NONPOINT",1999
"4474050","18165","10100212","PM25-PRI",2249.46,"POINT",2002
"4727268","12069","2810015000","PM25-PRI",2250.13,"NONPOINT",2002
"3446649","48005","2296000000","PM25-PRI",2251.91,"NONPOINT",1999
"10318839","39167","10100201","PM25-PRI",2252.99,"POINT",2005
"17152451","25027","2296000000","PM25-PRI",2263.14,"NONPOINT",2008
"4730791","12083","2810015000","PM25-PRI",2267.29,"NONPOINT",2002
"2063171","42095","10100201","PM25-PRI",2271.515,"POINT",1999
"188785","01097","2810001000","PM25-PRI",2275.56,"NONPOINT",1999
"10465948","48161","10100302","PM25-PRI",2277.13,"POINT",2005
"16648621","35015","2296000000","PM25-PRI",2278.3,"NONPOINT",2008
"4635622","48401","10100302","PM25-PRI",2279.34,"POINT",2002
"10610502","41033","2810001000","PM25-PRI",2281.26,"NONPOINT",2005
"100091","24031","10100212","PM25-PRI",2281.711,"POINT",1999
"18949510","37035","10100202","PM25-PRI",2286.5,"POINT",2008
"5222434","53011","2104008000","PM25-PRI",2288.7,"NONPOINT",2002
"11041099","53011","2104008000","PM25-PRI",2288.7,"NONPOINT",2005
"3516274","48115","2801000003","PM25-PRI",2290.21,"NONPOINT",1999
"16454011","35005","2296000000","PM25-PRI",2294.71,"NONPOINT",2008
"4653713","54051","10100202","PM25-PRI",2294.77,"POINT",2002
"4467270","18029","10100203","PM25-PRI",2295.21,"POINT",2002
"10314076","12081","10100401","PM25-PRI",2296.08,"POINT",2005
"5252455","56003","2296000000","PM25-PRI",2299.25,"NONPOINT",2002
"10695693","56003","2296000000","PM25-PRI",2299.25,"NONPOINT",2005
"4846910","20197","2801500170","PM25-PRI",2302.24,"NONPOINT",2002
"11029435","20197","2801500170","PM25-PRI",2302.24,"NONPOINT",2005
"5082589","41067","2104008051","PM25-PRI",2305.37,"NONPOINT",2002
"10972728","41067","2104008051","PM25-PRI",2305.37,"NONPOINT",2005
"1556512","06071","2296000000","PM25-PRI",2309.015,"NONPOINT",1999
"3560384","48181","2296000000","PM25-PRI",2309.54,"NONPOINT",1999
"10353835","42095","10100201","PM25-PRI",2309.87,"POINT",2005
"229671","12017","10100212","PM25-PRI",2310.23,"POINT",1999
"5139210","48061","2296000000","PM25-PRI",2313.77,"NONPOINT",2002
"10545540","48061","2296000000","PM25-PRI",2313.77,"NONPOINT",2005
"236487","12023","2810001000","PM25-PRI",2316.91,"NONPOINT",1999
"299354","12103","2294000000","PM25-PRI",2317.64,"NONPOINT",1999
"16844111","48061","2296000000","PM25-PRI",2330.95,"NONPOINT",2008
"1133196","22073","10200601","PM25-PRI",2332,"POINT",1999
"10537204","22071","2810090000","PM25-PRI",2332.37,"NONPOINT",2005
"3581721","48209","2296000000","PM25-PRI",2347.96,"NONPOINT",1999
"4581575","38055","10100301","PM25-PRI",2349.1,"POINT",2002
"252724","12051","10201101","PM25-PRI",2349.537,"POINT",1999
"1553156","06065","2810001000","PM25-PRI",2351.222,"NONPOINT",1999
"5073599","41005","2296000000","PM25-PRI",2355.5,"NONPOINT",2002
"10572522","41005","2296000000","PM25-PRI",2355.5,"NONPOINT",2005
"10262591","21177","10100203","PM25-PRI",2361.43,"POINT",2005
"4283431","32011","2810001000","PM25-PRI",2361.79,"NONPOINT",1999
"10258376","21127","10100202","PM25-PRI",2362.07,"POINT",2005
"922112","18097","2294000000","PM25-PRI",2362.74,"NONPOINT",1999
"10833846","20017","2810090000","PM25-PRI",2365.49,"NONPOINT",2005
"10382136","01063","10100201","PM25-PRI",2366.11,"POINT",2005
"4300399","41005","2296000000","PM25-PRI",2368.41,"NONPOINT",1999
"4585117","39167","10100201","PM25-PRI",2368.79,"POINT",2002
"3459598","48027","2296000000","PM25-PRI",2369.3,"NONPOINT",1999
"10307088","46103","39999999","PM25-PRI",2369.56,"POINT",2005
"2070152","42101","2294000000","PM25-PRI",2373.52,"NONPOINT",1999
"10368849","38055","10100301","PM25-PRI",2376.85,"POINT",2005
"1557756","06073","2610000500","PM25-PRI",2377.83,"NONPOINT",1999
"3838527","29095","2294000000","PM25-PRI",2379.98,"NONPOINT",1999
"10389598","24003","10100202","PM25-PRI",2380.98,"POINT",2005
"4716451","08081","2810001000","PM25-PRI",2382.31,"NONPOINT",2002
"4438062","12017","10100212","PM25-PRI",2383.71,"POINT",2002
"3410413","40109","2294000000","PM25-PRI",2383.8,"NONPOINT",1999
"4406991","01097","10100201","PM25-PRI",2386.71,"POINT",2002
"382728","13089","2294000000","PM25-PRI",2388.36,"NONPOINT",1999
"3644622","48309","2296000000","PM25-PRI",2394.92,"NONPOINT",1999
"2565546","37183","2294000000","PM25-PRI",2395.75,"NONPOINT",1999
"1578005","15001","2810001000","PM25-PRI",2397.08,"NONPOINT",1999
"4522803","26115","10100202","PM25-PRI",2397.46,"POINT",2002
"4438891","12033","38500101","PM25-PRI",2401.87,"POINT",2002
"10789475","06017","2810090000","PM25-PRI",2401.96,"NONPOINT",2005
"455080","13207","10100501","PM25-PRI",2402.087,"POINT",1999
"16396221","56005","2296000000","PM25-PRI",2402.77,"NONPOINT",2008
"229667","12017","10100202","PM25-PRI",2403.605,"POINT",1999
"120475","01005","2810015000","PM25-PRI",2406.134,"NONPOINT",1999
"4262527","56025","2296000000","PM25-PRI",2406.86,"NONPOINT",1999
"762790","17105","2801000003","PM25-PRI",2413.27,"NONPOINT",1999
"3826448","29077","2296000000","PM25-PRI",2414.03,"NONPOINT",1999
"112697710","22031","39999999","PM25-PRI",2414.61,"POINT",2008
"10388197","39013","10100202","PM25-PRI",2420.52,"POINT",2005
"202725","01117","10100212","PM25-PRI",2421.342,"POINT",1999
"4640734","49015","10100212","PM25-PRI",2427.45,"POINT",2002
"3035829","27171","2296000000","PM25-PRI",2427.57,"NONPOINT",1999
"4804942","18097","2102002000","PM25-PRI",2436.44,"NONPOINT",2002
"10943254","18097","2102002000","PM25-PRI",2436.44,"NONPOINT",2005
"4654019","54061","10100212","PM25-PRI",2441.88,"POINT",2002
"3367218","40037","2296000000","PM25-PRI",2442.55,"NONPOINT",1999
"4468201","18043","10100202","PM25-PRI",2443.84,"POINT",2002
"4214357","49015","10100212","PM25-PRI",2444.383,"POINT",1999
"4276850","32003","10100212","PM25-PRI",2444.672,"POINT",1999
"16354291","06059","2311020000","PM25-PRI",2450.16,"NONPOINT",2008
"3081745","39053","10100202","PM25-PRI",2453.895,"POINT",1999
"1555537","06071","39999999","PM25-PRI",2456,"POINT",1999
"10354814","12017","10100202","PM25-PRI",2456.64,"POINT",2005
"4405532","01071","10100202","PM25-PRI",2457.04,"POINT",2002
"10324492","18043","10100202","PM25-PRI",2460.18,"POINT",2005
"10287681","01097","10100201","PM25-PRI",2463.31,"POINT",2005
"3301419","35001","2311030000","PM25-PRI",2464.83,"NONPOINT",1999
"259746","12057","2294000000","PM25-PRI",2465.11,"NONPOINT",1999
"10526979","20073","2810090000","PM25-PRI",2467.41,"NONPOINT",2005
"4996700","35017","2296000000","PM25-PRI",2472.95,"NONPOINT",2002
"10923556","35017","2296000000","PM25-PRI",2472.95,"NONPOINT",2005
"1825535","36081","2294000000","PM25-PRI",2473.31,"NONPOINT",1999
"3340766","35057","2296000000","PM25-PRI",2477.96,"NONPOINT",1999
"4654015","54061","10100202","PM25-PRI",2479.59,"POINT",2002
"1541879","06037","2610000500","PM25-PRI",2480.68,"NONPOINT",1999
"2763308","47161","10100215","PM25-PRI",2481.002,"POINT",1999
"4267577","56033","2296000000","PM25-PRI",2481.83,"NONPOINT",1999
"17398101","29099","2296000000","PM25-PRI",2484.7,"NONPOINT",2008
"4999577","35025","2296000000","PM25-PRI",2491.79,"NONPOINT",2002
"10773975","35025","2296000000","PM25-PRI",2491.79,"NONPOINT",2005
"902125","18077","10100221","PM25-PRI",2493.16,"POINT",1999
"10450406","01071","10100202","PM25-PRI",2494.77,"POINT",2005
"10324771","42033","10100202","PM25-PRI",2496.29,"POINT",2005
"10357048","54061","10100212","PM25-PRI",2496.82,"POINT",2005
"3520593","48121","2296000000","PM25-PRI",2497.37,"NONPOINT",1999
"5228341","53063","2104008000","PM25-PRI",2498.85,"NONPOINT",2002
"10890453","53063","2104008000","PM25-PRI",2498.85,"NONPOINT",2005
"4444687","13207","10100212","PM25-PRI",2507.22,"POINT",2002
"16821041","13087","2810015000","PM25-PRI",2508.27,"NONPOINT",2008
"4687011","04013","2311000000","PM25-PRI",2508.65,"NONPOINT",2002
"10827150","04013","2311000000","PM25-PRI",2508.65,"NONPOINT",2005
"10482734","24017","10100212","PM25-PRI",2516.43,"POINT",2005
"10935451","06089","2810001001","PM25-PRI",2519.24,"NONPOINT",2005
"238818","12029","2810001000","PM25-PRI",2525.62,"NONPOINT",1999
"4734739","12119","2810015000","PM25-PRI",2525.96,"NONPOINT",2002
"16888741","35017","2296000000","PM25-PRI",2528.82,"NONPOINT",2008
"10406694","48201","38500101","PM25-PRI",2536.01,"POINT",2005
"10389565","18165","10100212","PM25-PRI",2536.39,"POINT",2005
"11052466","40127","2810090000","PM25-PRI",2542.19,"NONPOINT",2005
"17335081","35025","2296000000","PM25-PRI",2548.09,"NONPOINT",2008
"10925541","22113","2810090000","PM25-PRI",2548.78,"NONPOINT",2005
"154740","01053","2810015000","PM25-PRI",2550.32,"NONPOINT",1999
"4291215","32027","2810001000","PM25-PRI",2552.42,"NONPOINT",1999
"4889642","25027","2296000000","PM25-PRI",2554.51,"NONPOINT",2002
"10909788","25027","2296000000","PM25-PRI",2554.51,"NONPOINT",2005
"10484033","39167","10100202","PM25-PRI",2562.84,"POINT",2005
"5252650","56005","2296000000","PM25-PRI",2563.46,"NONPOINT",2002
"10610478","56005","2296000000","PM25-PRI",2563.46,"NONPOINT",2005
"10290851","26115","10100202","PM25-PRI",2566.34,"POINT",2005
"10860841","41047","2810090000","PM25-PRI",2576.76,"NONPOINT",2005
"4260819","56023","2296000000","PM25-PRI",2580.34,"NONPOINT",1999
"10388914","49015","10100212","PM25-PRI",2587.89,"POINT",2005
"4610647","47161","10100215","PM25-PRI",2593.2,"POINT",2002
"20782410","33015","30501501","PM25-PRI",2596.33,"POINT",2008
"354352","13051","10200902","PM25-PRI",2597.724,"POINT",1999
"4440123","12081","10100401","PM25-PRI",2600.06,"POINT",2002
"3013386","27141","10100222","PM25-PRI",2602.388,"POINT",1999
"4596916","42095","10100201","PM25-PRI",2603.28,"POINT",2002
"1409874","20191","2801000003","PM25-PRI",2603.58,"NONPOINT",1999
"1505487","04005","2810015000","PM25-PRI",2605.54,"NONPOINT",1999
"4319812","41035","2810015000","PM25-PRI",2606.32,"NONPOINT",1999
"4725129","12037","2810015000","PM25-PRI",2606.5,"NONPOINT",2002
"1618259","16011","2801500261","PM25-PRI",2609.404,"NONPOINT",1999
"10452285","47085","10100212","PM25-PRI",2615.99,"POINT",2005
"4687489","04019","2810001000","PM25-PRI",2616.48,"NONPOINT",2002
"1979969","42003","10100212","PM25-PRI",2620.348,"POINT",1999
"4439087","12051","10201101","PM25-PRI",2620.78,"POINT",2002
"221251","12005","2810001000","PM25-PRI",2623.5,"NONPOINT",1999
"4735557","12127","2810015000","PM25-PRI",2625.48,"NONPOINT",2002
"7821415","02016","2280003000","PM25-PRI",2636.92,"NON-ROAD",2002
"10357832","48449","10100202","PM25-PRI",2644.52,"POINT",2005
"10527047","30081","2810090000","PM25-PRI",2646.3,"NONPOINT",2005
"10258788","39085","10100202","PM25-PRI",2647.04,"POINT",2005
"4583456","39093","10100202","PM25-PRI",2648.49,"POINT",2002
"1550302","06059","2294000000","PM25-PRI",2649.428,"NONPOINT",1999
"2285067","54051","10100202","PM25-PRI",2656.002,"POINT",1999
"10716077","32017","2810001000","PM25-PRI",2658.06,"NONPOINT",2005
"1984637","42007","10100202","PM25-PRI",2658.856,"POINT",1999
"4729562","12091","2810015000","PM25-PRI",2669.42,"NONPOINT",2002
"3426174","40131","2296000000","PM25-PRI",2679.13,"NONPOINT",1999
"4264787","56029","2296000000","PM25-PRI",2682.45,"NONPOINT",1999
"2710053","47085","10100202","PM25-PRI",2687.211,"POINT",1999
"10258728","37071","10100202","PM25-PRI",2687.69,"POINT",2005
"10898439","53027","2810090000","PM25-PRI",2691.51,"NONPOINT",2005
"5000504","35035","2296000000","PM25-PRI",2692.12,"NONPOINT",2002
"10875542","35035","2296000000","PM25-PRI",2692.12,"NONPOINT",2005
"10368460","48401","10100302","PM25-PRI",2697.19,"POINT",2005
"1352741","20091","2311030000","PM25-PRI",2705.02,"NONPOINT",1999
"11098005","48245","2810001000","PM25-PRI",2707.53,"NONPOINT",2005
"4495855","21177","10100203","PM25-PRI",2716.69,"POINT",2002
"10523525","22075","2810090000","PM25-PRI",2722.06,"NONPOINT",2005
"4408273","01127","10100201","PM25-PRI",2738.78,"POINT",2002
"10484959","22077","10100202","PM25-PRI",2741.93,"POINT",2005
"138416210","18165","10100212","PM25-PRI",2742.73,"POINT",2008
"4474122","18167","10100202","PM25-PRI",2745.43,"POINT",2002
"2515397","37119","2294000000","PM25-PRI",2746.56,"NONPOINT",1999
"16501111","06037","2302002000","PM25-PRI",2750.58,"NONPOINT",2008
"11082911","06109","2810090000","PM25-PRI",2752.46,"NONPOINT",2005
"16352211","35035","2296000000","PM25-PRI",2752.94,"NONPOINT",2008
"11004572","53041","2810090000","PM25-PRI",2755.59,"NONPOINT",2005
"3498471","48085","2296000000","PM25-PRI",2755.65,"NONPOINT",1999
"2291428","54061","10100202","PM25-PRI",2756.505,"POINT",1999
"5229593","53075","2801000003","PM25-PRI",2760.92,"NONPOINT",2002
"11100599","53075","2801000003","PM25-PRI",2760.92,"NONPOINT",2005
"5185446","49017","2810001000","PM25-PRI",2761.37,"NONPOINT",2002
"1803245","36059","2104008010","PM25-PRI",2765.52,"NONPOINT",1999
"4569068","36013","10100212","PM25-PRI",2765.56,"POINT",2002
"10598683","22115","2810090000","PM25-PRI",2765.61,"NONPOINT",2005
"1503573","04005","10100212","PM25-PRI",2768.216,"POINT",1999
"17326251","48201","2311030000","PM25-PRI",2768.58,"NONPOINT",2008
"1512625","04013","2294000000","PM25-PRI",2776.91,"NONPOINT",1999
"3333764","35047","2296000000","PM25-PRI",2777.72,"NONPOINT",1999
"4722535","12009","2810015000","PM25-PRI",2779.44,"NONPOINT",2002
"4502789","22077","10100202","PM25-PRI",2781.6,"POINT",2002
"288189","12091","2810001000","PM25-PRI",2784.44,"NONPOINT",1999
"3018104","27145","2296000000","PM25-PRI",2789.82,"NONPOINT",1999
"202721","01117","10100202","PM25-PRI",2791.625,"POINT",1999
"3822045","29071","2296000000","PM25-PRI",2795.53,"NONPOINT",1999
"4491634","21091","10100202","PM25-PRI",2795.86,"POINT",2002
"10292300","01117","10100212","PM25-PRI",2797.06,"POINT",2005
"10291793","21091","10100202","PM25-PRI",2802.21,"POINT",2005
"16450811","13179","2810015000","PM25-PRI",2804.17,"NONPOINT",2008
"3584419","48213","2296000000","PM25-PRI",2804.74,"NONPOINT",1999
"4729233","12065","2810015000","PM25-PRI",2807.08,"NONPOINT",2002
"10318102","01127","10100201","PM25-PRI",2813.3,"POINT",2005
"10292312","04005","10100212","PM25-PRI",2816.93,"POINT",2005
"3047213","39013","10100202","PM25-PRI",2817.792,"POINT",1999
"4246994","56003","2296000000","PM25-PRI",2826.02,"NONPOINT",1999
"10386797","18167","10100202","PM25-PRI",2826.54,"POINT",2005
"1123284","22057","2801500000","PM25-PRI",2830.84,"NONPOINT",1999
"1647972","16055","2296000000","PM25-PRI",2835.57,"NONPOINT",1999
"10566047","41063","2810001000","PM25-PRI",2840.65,"NONPOINT",2005
"28355710","21167","10100212","PM25-PRI",2845.47,"POINT",2008
"4585125","39167","10100203","PM25-PRI",2846.73,"POINT",2002
"2710057","47085","10100212","PM25-PRI",2847.266,"POINT",1999
"1541895","06037","2810001000","PM25-PRI",2848.136,"NONPOINT",1999
"1112481","22045","10200601","PM25-PRI",2852,"POINT",1999
"8640637","22075","2280003000","PM25-PRI",2852.19,"NON-ROAD",2002
"59691","25017","2294000000","PM25-PRI",2853.03,"NONPOINT",1999
"10850656","16037","2810090000","PM25-PRI",2864.18,"NONPOINT",2005
"10533850","22067","2810090000","PM25-PRI",2864.55,"NONPOINT",2005
"5137606","48029","2296000000","PM25-PRI",2865,"NONPOINT",2002
"10784224","48029","2296000000","PM25-PRI",2865,"NONPOINT",2005
"4405021","01033","10100202","PM25-PRI",2865.14,"POINT",2002
"183230","01091","2810015000","PM25-PRI",2867.646,"NONPOINT",1999
"10483080","39025","10100212","PM25-PRI",2868.76,"POINT",2005
"3011493","27137","2296000000","PM25-PRI",2868.88,"NONPOINT",1999
"4846390","20191","2801500261","PM25-PRI",2869.84,"NONPOINT",2002
"11095899","20191","2801500261","PM25-PRI",2869.84,"NONPOINT",2005
"2008651","42033","10100202","PM25-PRI",2870.524,"POINT",1999
"16894931","04005","2810015000","PM25-PRI",2875.41,"NONPOINT",2008
"3531655","48139","2296000000","PM25-PRI",2877.32,"NONPOINT",1999
"10752353","41005","2810090000","PM25-PRI",2878,"NONPOINT",2005
"4604809","45079","10100202","PM25-PRI",2878.8,"POINT",2002
"10325202","36013","10100212","PM25-PRI",2879.03,"POINT",2005
"5177218","48423","2296000000","PM25-PRI",2880.75,"NONPOINT",2002
"10692111","48423","2296000000","PM25-PRI",2880.75,"NONPOINT",2005
"17008991","48029","2296000000","PM25-PRI",2886.29,"NONPOINT",2008
"1609179","02290","2810015000","PM25-PRI",2888.58,"NONPOINT",1999
"10874259","06035","2810090000","PM25-PRI",2895.82,"NONPOINT",2005
"16837791","48423","2296000000","PM25-PRI",2902.15,"NONPOINT",2008
"13694586","02016","2280003000","PM25-PRI",2906.69,"NON-ROAD",2005
"404524","13121","2294000000","PM25-PRI",2909.18,"NONPOINT",1999
"1794293","36047","2294000000","PM25-PRI",2916.7,"NONPOINT",1999
"10571031","22005","2810090000","PM25-PRI",2917.9,"NONPOINT",2005
"2291432","54061","10100212","PM25-PRI",2918.584,"POINT",1999
"1557652","06073","2294000000","PM25-PRI",2924.25,"NONPOINT",1999
"37541810","12033","10100202","PM25-PRI",2925.18,"POINT",2008
"138417010","18165","10100212","PM25-PRI",2925.54,"POINT",2008
"972250","18167","10100202","PM25-PRI",2925.87,"POINT",1999
"4329976","41051","2104008001","PM25-PRI",2927.693,"NONPOINT",1999
"4409297","04005","10100212","PM25-PRI",2929,"POINT",2002
"1557771","06073","2810001000","PM25-PRI",2934.65,"NONPOINT",1999
"4278805","32003","2311020000","PM25-PRI",2944.48,"NONPOINT",1999
"5000824","35043","2296000000","PM25-PRI",2944.79,"NONPOINT",2002
"10930400","35043","2296000000","PM25-PRI",2944.79,"NONPOINT",2005
"10450650","13077","10100212","PM25-PRI",2948.61,"POINT",2005
"10850698","22121","2810090000","PM25-PRI",2949.4,"NONPOINT",2005
"143579","01039","2810015000","PM25-PRI",2952.091,"NONPOINT",1999
"5140275","48039","2296000000","PM25-PRI",2963.79,"NONPOINT",2002
"10552293","48039","2296000000","PM25-PRI",2963.79,"NONPOINT",2005
"4559949","32003","10100212","PM25-PRI",2969.41,"POINT",2002
"4095665","38017","2801000003","PM25-PRI",2983.02,"NONPOINT",1999
"16780571","48039","2296000000","PM25-PRI",2985.81,"NONPOINT",2008
