"","fips","SCC","Pollutant","Emissions","type","year"
"10418312","01073","10100202","PM25-PRI",1753.31,"POINT",2005
"10994345","12019","2810090000","PM25-PRI",1753.68,"NONPOINT",2005
"4322279","41039","2296000000","PM25-PRI",1755.53,"NONPOINT",1999
"4132016","38093","2801000003","PM25-PRI",1758.08,"NONPOINT",1999
"17346081","06075","2311020000","PM25-PRI",1760.15,"NONPOINT",2008
"4066","09003","2294000000","PM25-PRI",1762.53,"NONPOINT",1999
"5146195","48113","2311030000","PM25-PRI",1764.11,"NONPOINT",2002
"10870180","48113","2311030000","PM25-PRI",1764.11,"NONPOINT",2005
"149578","01047","2810015000","PM25-PRI",1764.681,"NONPOINT",1999
"10494484","22057","10201101","PM25-PRI",1764.69,"POINT",2005
"874716","18043","10100202","PM25-PRI",1766.645,"POINT",1999
"1531578","06017","2104008010","PM25-PRI",1767.52,"NONPOINT",1999
"4626989","48215","10201101","PM25-PRI",1767.99,"POINT",2002
"4830640","20011","2801500170","PM25-PRI",1769.34,"NONPOINT",2002
"10503537","20011","2801500170","PM25-PRI",1769.34,"NONPOINT",2005
"5079060","41051","2104008001","PM25-PRI",1770.11,"NONPOINT",2002
"11090196","41051","2104008001","PM25-PRI",1770.11,"NONPOINT",2005
"4563438","34017","10100202","PM25-PRI",1771.14,"POINT",2002
"4771477","16055","2296000000","PM25-PRI",1771.33,"NONPOINT",2002
"10838368","16055","2296000000","PM25-PRI",1771.33,"NONPOINT",2005
"3640427","48303","2296000000","PM25-PRI",1771.64,"NONPOINT",1999
"417396","13139","2296000000","PM25-PRI",1771.87,"NONPOINT",1999
"10462251","12051","10201101","PM25-PRI",1771.87,"POINT",2005
"1622333","16017","2296000000","PM25-PRI",1772.72,"NONPOINT",1999
"2030","09001","2294000000","PM25-PRI",1777.1,"NONPOINT",1999
"10700961","30003","2810090000","PM25-PRI",1777.12,"NONPOINT",2005
"1533388","06019","2801000003","PM25-PRI",1781.346,"NONPOINT",1999
"1590695","02090","2296000000","PM25-PRI",1782.87,"NONPOINT",1999
"10997852","06107","2810090000","PM25-PRI",1786.18,"NONPOINT",2005
"5156793","48201","2610000500","PM25-PRI",1788,"NONPOINT",2002
"10856138","48201","2610000500","PM25-PRI",1788,"NONPOINT",2005
"3576048","48201","2610000500","PM25-PRI",1788.07,"NONPOINT",1999
"4918726","27145","2296000000","PM25-PRI",1789.61,"NONPOINT",2002
"10988852","27145","2296000000","PM25-PRI",1789.61,"NONPOINT",2005
"16335101","17031","2311020000","PM25-PRI",1789.9,"NONPOINT",2008
"188669","01097","2294000000","PM25-PRI",1789.94,"NONPOINT",1999
"265326","12065","2810001000","PM25-PRI",1792.79,"NONPOINT",1999
"10325626","37145","10100212","PM25-PRI",1793.08,"POINT",2005
"169913","01073","2610000500","PM25-PRI",1793.58,"NONPOINT",1999
"4727235","12089","2810015000","PM25-PRI",1794.58,"NONPOINT",2002
"10874250","05035","2810090000","PM25-PRI",1794.77,"NONPOINT",2005
"373303","13077","10100601","PM25-PRI",1796.256,"POINT",1999
"16541081","06017","2104008300","PM25-PRI",1796.97,"NONPOINT",2008
"4556530","30087","10100226","PM25-PRI",1798.89,"POINT",2002
"1564790","06089","2104008010","PM25-PRI",1799.12,"NONPOINT",1999
"4666493","01011","2610000500","PM25-PRI",1801.58,"NONPOINT",2002
"10569379","01011","2610000500","PM25-PRI",1801.58,"NONPOINT",2005
"4568081","35045","10100221","PM25-PRI",1801.98,"POINT",2002
"4271536","56039","2296000000","PM25-PRI",1804.4,"NONPOINT",1999
"3321052","35029","2296000000","PM25-PRI",1804.79,"NONPOINT",1999
"4255838","56015","2296000000","PM25-PRI",1804.82,"NONPOINT",1999
"241281","12033","10201201","PM25-PRI",1807.006,"POINT",1999
"3436968","40145","2296000000","PM25-PRI",1808.82,"NONPOINT",1999
"4561417","33013","10100203","PM25-PRI",1811.3,"POINT",2002
"2565619","37183","2610000500","PM25-PRI",1814.55,"NONPOINT",1999
"1152834","22099","2801500000","PM25-PRI",1817.24,"NONPOINT",1999
"4111871","38055","10100302","PM25-PRI",1818.091,"POINT",1999
"4704284","06057","2104008010","PM25-PRI",1818.74,"NONPOINT",2002
"11001313","06057","2104008010","PM25-PRI",1818.74,"NONPOINT",2005
"1844737","36103","2294000000","PM25-PRI",1820.1,"NONPOINT",1999
"404624","13121","2610000500","PM25-PRI",1820.29,"NONPOINT",1999
"2486007","37081","2294000000","PM25-PRI",1820.63,"NONPOINT",1999
"3422532","40125","2296000000","PM25-PRI",1821.61,"NONPOINT",1999
"16469121","06057","2104008300","PM25-PRI",1822.34,"NONPOINT",2008
"266294","12067","2810001000","PM25-PRI",1822.84,"NONPOINT",1999
"2270831","54029","30300913","PM25-PRI",1823.737,"POINT",1999
"1547460","06053","2810015000","PM25-PRI",1824.323,"NONPOINT",1999
"16366171","40131","2296000000","PM25-PRI",1825.99,"NONPOINT",2008
"4943954","29077","2296000000","PM25-PRI",1828.19,"NONPOINT",2002
"11101009","29077","2296000000","PM25-PRI",1828.19,"NONPOINT",2005
"17032611","06025","2296000000","PM25-PRI",1829.22,"NONPOINT",2008
"4493701","21127","10100202","PM25-PRI",1829.88,"POINT",2002
"264158","12063","2810001000","PM25-PRI",1830.23,"NONPOINT",1999
"16282201","17019","2801000003","PM25-PRI",1833.88,"NONPOINT",2008
"17241571","56025","2296000000","PM25-PRI",1835.47,"NONPOINT",2008
"323954","12133","2810001000","PM25-PRI",1837.91,"NONPOINT",1999
"758017","17099","2801000003","PM25-PRI",1838.18,"NONPOINT",1999
"4916403","27137","2296000000","PM25-PRI",1840.32,"NONPOINT",2002
"11009185","27137","2296000000","PM25-PRI",1840.32,"NONPOINT",2005
"4839639","20115","2801500170","PM25-PRI",1841.66,"NONPOINT",2002
"10803910","20115","2801500170","PM25-PRI",1841.66,"NONPOINT",2005
"1562671","06083","2810001000","PM25-PRI",1843.141,"NONPOINT",1999
"4345440","53001","2801000003","PM25-PRI",1847.44,"NONPOINT",1999
"10984313","27071","2810090000","PM25-PRI",1848.34,"NONPOINT",2005
"5145078","48085","2296000000","PM25-PRI",1848.43,"NONPOINT",2002
"11097854","48085","2296000000","PM25-PRI",1848.43,"NONPOINT",2005
"4600751","45015","10100212","PM25-PRI",1848.86,"POINT",2002
"3730742","48445","2801000003","PM25-PRI",1850.36,"NONPOINT",1999
"2609870","45043","10100202","PM25-PRI",1850.797,"POINT",1999
"811067","17167","10100203","PM25-PRI",1851.831,"POINT",1999
"1609255","16001","2102008000","PM25-PRI",1852.647,"NONPOINT",1999
"10974142","20197","2810090000","PM25-PRI",1854.3,"NONPOINT",2005
"241241","12033","10100202","PM25-PRI",1855.72,"POINT",1999
"4482150","19179","10100226","PM25-PRI",1856.45,"POINT",2002
"1541754","06037","2296000000","PM25-PRI",1857.639,"NONPOINT",1999
"367051","13067","2610000500","PM25-PRI",1858.93,"NONPOINT",1999
"16572371","16027","2296000000","PM25-PRI",1859.62,"NONPOINT",2008
"4831219","20019","2801500170","PM25-PRI",1861.24,"NONPOINT",2002
"10728909","20019","2801500170","PM25-PRI",1861.24,"NONPOINT",2005
"16946401","48085","2296000000","PM25-PRI",1862.17,"NONPOINT",2008
"11001142","22095","2810090000","PM25-PRI",1862.67,"NONPOINT",2005
"10355770","54033","10100202","PM25-PRI",1863.86,"POINT",2005
"4715381","08071","2810001000","PM25-PRI",1865.85,"NONPOINT",2002
"1666636","16083","2296000000","PM25-PRI",1866.89,"NONPOINT",1999
"1541806","06037","2311020000","PM25-PRI",1868.26,"NONPOINT",1999
"5002984","35047","2296000000","PM25-PRI",1869.19,"NONPOINT",2002
"10848680","35047","2296000000","PM25-PRI",1869.19,"NONPOINT",2005
"59745","25017","2610000500","PM25-PRI",1870.59,"NONPOINT",1999
"4438058","12017","10100202","PM25-PRI",1871.11,"POINT",2002
"4606247","47001","10100212","PM25-PRI",1871.9,"POINT",2002
"138903410","18167","10100202","PM25-PRI",1873.46,"POINT",2008
"1632281","16031","2801500261","PM25-PRI",1873.67,"NONPOINT",1999
"3745477","48467","2296000000","PM25-PRI",1874.1,"NONPOINT",1999
"10755719","05039","2810090000","PM25-PRI",1876.15,"NONPOINT",2005
"250493","12045","2810001000","PM25-PRI",1876.85,"NONPOINT",1999
"5157910","48213","2296000000","PM25-PRI",1881.36,"NONPOINT",2002
"10784263","48213","2296000000","PM25-PRI",1881.36,"NONPOINT",2005
"2993632","27111","2296000000","PM25-PRI",1881.92,"NONPOINT",1999
"1548420","06057","2104008010","PM25-PRI",1883.65,"NONPOINT",1999
"16616461","25023","2296000000","PM25-PRI",1888.71,"NONPOINT",2008
"10420264","54061","10100202","PM25-PRI",1890.44,"POINT",2005
"3005297","27129","2801000003","PM25-PRI",1890.78,"NONPOINT",1999
"16386091","56033","2296000000","PM25-PRI",1890.83,"NONPOINT",2008
"4136609","38101","2801000003","PM25-PRI",1892.93,"NONPOINT",1999
"3704700","48401","2296000000","PM25-PRI",1893.31,"NONPOINT",1999
"213059","01127","2810001000","PM25-PRI",1894.991,"NONPOINT",1999
"4495458","21167","10100212","PM25-PRI",1895.15,"POINT",2002
"17205241","48213","2296000000","PM25-PRI",1895.34,"NONPOINT",2008
"10357422","47001","10100212","PM25-PRI",1896.04,"POINT",2005
"3405096","40101","2296000000","PM25-PRI",1896.21,"NONPOINT",1999
"4706177","06071","2296000000","PM25-PRI",1896.81,"NONPOINT",2002
"10947501","06071","2296000000","PM25-PRI",1896.81,"NONPOINT",2005
"27201110","26017","30500617","PM25-PRI",1896.83,"POINT",2008
"1514578","04015","2810001000","PM25-PRI",1897.41,"NONPOINT",1999
"138492110","18173","10100202","PM25-PRI",1897.45,"POINT",2008
"3786637","29019","2296000000","PM25-PRI",1898.31,"NONPOINT",1999
"4741840","13087","2810015000","PM25-PRI",1898.41,"NONPOINT",2002
"1444717","08039","2294000000","PM25-PRI",1898.57,"NONPOINT",1999
"291562","12095","2294000000","PM25-PRI",1898.9,"NONPOINT",1999
"227901","12013","2810001000","PM25-PRI",1899.18,"NONPOINT",1999
"1500352","04001","10100202","PM25-PRI",1901.037,"POINT",1999
"16308621","17099","2801000003","PM25-PRI",1901.35,"NONPOINT",2008
"232901","12019","2810001000","PM25-PRI",1901.41,"NONPOINT",1999
"2132701","51059","2294000000","PM25-PRI",1902.19,"NONPOINT",1999
"1618084","16011","2296000000","PM25-PRI",1906.39,"NONPOINT",1999
"13794341","06083","2280003000","PM25-PRI",1906.99,"NON-ROAD",2005
"3443600","48001","2296000000","PM25-PRI",1910.39,"NONPOINT",1999
"4270316","56037","2296000000","PM25-PRI",1910.79,"NONPOINT",1999
"16499461","35047","2296000000","PM25-PRI",1911.43,"NONPOINT",2008
"10399647","38057","10100301","PM25-PRI",1913.36,"POINT",2005
"167161","01073","10100202","PM25-PRI",1915.417,"POINT",1999
"10631896","30081","2810001001","PM25-PRI",1916.21,"NONPOINT",2005
"1460232","08063","2801000003","PM25-PRI",1916.99,"NONPOINT",1999
"10324217","47085","10100202","PM25-PRI",1920.82,"POINT",2005
"4276839","32001","2810001000","PM25-PRI",1921.43,"NONPOINT",1999
"1598587","02170","2296000000","PM25-PRI",1924.08,"NONPOINT",1999
"1549725","06059","2104008001","PM25-PRI",1924.41,"NONPOINT",1999
"3318615","35027","2296000000","PM25-PRI",1925.11,"NONPOINT",1999
"138971810","18097","10100212","PM25-PRI",1925.97,"POINT",2008
"10862488","16059","2810001000","PM25-PRI",1926.38,"NONPOINT",2005
"3498477","48085","2311030000","PM25-PRI",1926.84,"NONPOINT",1999
"17188801","13121","2102008000","PM25-PRI",1927.58,"NONPOINT",2008
"1533288","06019","2296000000","PM25-PRI",1927.698,"NONPOINT",1999
"5150403","48139","2296000000","PM25-PRI",1930.04,"NONPOINT",2002
"10757289","48139","2296000000","PM25-PRI",1930.04,"NONPOINT",2005
"3640514","48303","2801000003","PM25-PRI",1931.34,"NONPOINT",1999
"10291242","45015","10100212","PM25-PRI",1934.59,"POINT",2005
"10425253","24005","10100203","PM25-PRI",1934.98,"POINT",2005
"3615132","48257","2296000000","PM25-PRI",1938.13,"NONPOINT",1999
"15103333","37055","2280003000","PM25-PRI",1943.09,"NON-ROAD",2005
"215322","01131","2810015000","PM25-PRI",1943.362,"NONPOINT",1999
"11096405","41015","2810090000","PM25-PRI",1943.56,"NONPOINT",2005
"17258551","48139","2296000000","PM25-PRI",1944.38,"NONPOINT",2008
"4096534","38019","2801000003","PM25-PRI",1944.75,"NONPOINT",1999
"4581583","38057","10100301","PM25-PRI",1945.71,"POINT",2002
"4664889","56037","30599999","PM25-PRI",1951.59,"POINT",2002
"10274939","56037","30599999","PM25-PRI",1951.59,"POINT",2005
"4637629","48449","10100302","PM25-PRI",1952.95,"POINT",2002
"4250384","56007","2296000000","PM25-PRI",1954.8,"NONPOINT",1999
"234777","12021","2810015000","PM25-PRI",1954.95,"NONPOINT",1999
"17321901","13245","2810015000","PM25-PRI",1955.67,"NONPOINT",2008
